"","Kommune","locality","site","utm_sone","date","month","year","utm_N","utm_E","stage","obs"
"159","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011891,563427,"adult",4
"160","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011891,563427,"juvenile",0
"161","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011885,563417,"adult",1
"162","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011885,563417,"juvenile",0
"163","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011926,563477,"adult",1
"164","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011926,563477,"juvenile",0
"165","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011923,563476,"adult",1
"166","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011923,563476,"juvenile",0
"167","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011933,563468,"adult",1
"168","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011933,563468,"juvenile",0
"169","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011937,563463,"adult",1
"170","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011937,563463,"juvenile",0
"171","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011938,563463,"adult",1
"172","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011938,563463,"juvenile",0
"173","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011937,563464,"adult",4
"174","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011937,563464,"juvenile",0
"175","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011938,563465,"adult",2
"176","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011938,563465,"juvenile",0
"177","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011935,563455,"adult",1
"178","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011935,563455,"juvenile",0
"179","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011937,563449,"adult",2
"180","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011937,563449,"juvenile",0
"181","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011939,563445,"adult",1
"182","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011939,563445,"juvenile",0
"183","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011940,563444,"adult",1
"184","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011940,563444,"juvenile",0
"185","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011945,563436,"adult",1
"186","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011945,563436,"juvenile",0
"187","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011945,563434,"adult",2
"188","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011945,563434,"juvenile",0
"189","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011946,563435,"adult",1
"190","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011946,563435,"juvenile",0
"191","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011944,563431,"adult",1
"192","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011944,563431,"juvenile",0
"193","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011941,563435,"adult",2
"194","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011941,563435,"juvenile",0
"195","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011942,563434,"adult",2
"196","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011942,563434,"juvenile",0
"197","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011942,563430,"adult",1
"198","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011942,563430,"juvenile",0
"199","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011945,563430,"adult",1
"200","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011945,563430,"juvenile",0
"201","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011945,563429,"adult",1
"202","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011945,563429,"juvenile",0
"203","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011939,563431,"adult",1
"204","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011939,563431,"juvenile",0
"205","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011936,563437,"adult",1
"206","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011936,563437,"juvenile",0
"207","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011936,563435,"adult",2
"208","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011936,563435,"juvenile",0
"209","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011936,563434,"adult",1
"210","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011936,563434,"juvenile",0
"211","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011938,563431,"adult",1
"212","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011938,563431,"juvenile",0
"213","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011925,563447,"adult",1
"214","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011925,563447,"juvenile",0
"215","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011922,563260,"adult",1
"216","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011922,563260,"juvenile",0
"217","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011914,563265,"adult",1
"218","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011914,563265,"juvenile",0
"219","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011913,563259,"adult",1
"220","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011913,563259,"juvenile",0
"221","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011930,563199,"adult",1
"222","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011930,563199,"juvenile",0
"223","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011924,563258,"adult",1
"224","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011924,563258,"juvenile",0
"225","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011958,563206,"adult",1
